item_name,date,price
2020 RMR Challengers,2024-10-04 01:00:00,0.207
2020 RMR Challengers,2024-10-05 01:00:00,0.219
2020 RMR Challengers,2024-10-06 01:00:00,0.224
2020 RMR Challengers,2024-10-07 01:00:00,0.209
2020 RMR Challengers,2024-10-08 01:00:00,0.203
2020 RMR Challengers,2024-10-09 01:00:00,0.194
2020 RMR Challengers,2024-10-10 01:00:00,0.204
2020 RMR Challengers,2024-10-11 01:00:00,0.212
2020 RMR Challengers,2024-10-12 01:00:00,0.223
2020 RMR Challengers,2024-10-13 01:00:00,0.234
2020 RMR Challengers,2024-10-14 01:00:00,0.235
2020 RMR Challengers,2024-10-15 01:00:00,0.228
2020 RMR Challengers,2024-10-16 01:00:00,0.217
2020 RMR Challengers,2024-10-17 01:00:00,0.205
2020 RMR Challengers,2024-10-18 01:00:00,0.204
2020 RMR Challengers,2024-10-19 01:00:00,0.223
2020 RMR Challengers,2024-10-20 01:00:00,0.206
2020 RMR Challengers,2024-10-21 01:00:00,0.2
2020 RMR Challengers,2024-10-22 01:00:00,0.201
2020 RMR Challengers,2024-10-23 01:00:00,0.201
2020 RMR Challengers,2024-10-24 01:00:00,0.199
2020 RMR Challengers,2024-10-25 01:00:00,0.201
2020 RMR Challengers,2024-10-26 01:00:00,0.203
2020 RMR Challengers,2024-10-27 01:00:00,0.203
2020 RMR Challengers,2024-10-28 01:00:00,0.202
2020 RMR Challengers,2024-10-29 01:00:00,0.207
2020 RMR Challengers,2024-10-30 01:00:00,0.228
2020 RMR Challengers,2024-10-31 01:00:00,0.231
2020 RMR Challengers,2024-11-01 01:00:00,0.228
2020 RMR Challengers,2024-11-02 01:00:00,0.229
2020 RMR Challengers,2024-11-03 01:00:00,0.225
2020 RMR Challengers,2024-11-04 01:00:00,0.219
2020 RMR Challengers,2024-11-05 01:00:00,0.212
2020 RMR Challengers,2024-11-06 01:00:00,0.22
2020 RMR Challengers,2024-11-07 01:00:00,0.224
2020 RMR Challengers,2024-11-08 01:00:00,0.231
2020 RMR Challengers,2024-11-09 01:00:00,0.239
2020 RMR Challengers,2024-11-10 01:00:00,0.234
2020 RMR Challengers,2024-11-11 01:00:00,0.228
2020 RMR Challengers,2024-11-12 01:00:00,0.234
2020 RMR Challengers,2024-11-13 01:00:00,0.22
2020 RMR Challengers,2024-11-14 01:00:00,0.231
2020 RMR Challengers,2024-11-15 01:00:00,0.234
2020 RMR Challengers,2024-11-16 01:00:00,0.232
2020 RMR Challengers,2024-11-17 01:00:00,0.226
2020 RMR Challengers,2024-11-18 01:00:00,0.229
2020 RMR Challengers,2024-11-19 01:00:00,0.231
2020 RMR Challengers,2024-11-20 01:00:00,0.234
2020 RMR Challengers,2024-11-21 01:00:00,0.236
2020 RMR Challengers,2024-11-22 01:00:00,0.243
2020 RMR Challengers,2024-11-23 01:00:00,0.244
2020 RMR Challengers,2024-11-24 01:00:00,0.252
2020 RMR Challengers,2024-11-25 01:00:00,0.253
2020 RMR Challengers,2024-11-26 01:00:00,0.247
2020 RMR Challengers,2024-11-27 01:00:00,0.245
2020 RMR Challengers,2024-11-28 01:00:00,0.233
2020 RMR Challengers,2024-11-29 01:00:00,0.224
2020 RMR Challengers,2024-11-30 01:00:00,0.238
2020 RMR Challengers,2024-12-01 01:00:00,0.247
2020 RMR Challengers,2024-12-02 01:00:00,0.232
2020 RMR Challengers,2024-12-03 01:00:00,0.218
2020 RMR Challengers,2024-12-04 01:00:00,0.225
2020 RMR Challengers,2024-12-05 01:00:00,0.224
2020 RMR Challengers,2024-12-06 01:00:00,0.231
2020 RMR Challengers,2024-12-07 01:00:00,0.233
2020 RMR Challengers,2024-12-08 01:00:00,0.225
2020 RMR Challengers,2024-12-09 01:00:00,0.236
2020 RMR Challengers,2024-12-10 01:00:00,0.24
2020 RMR Challengers,2024-12-11 01:00:00,0.241
2020 RMR Challengers,2024-12-12 01:00:00,0.241
2020 RMR Challengers,2024-12-13 01:00:00,0.243
2020 RMR Challengers,2024-12-14 01:00:00,0.244
2020 RMR Challengers,2024-12-15 01:00:00,0.251
2020 RMR Challengers,2024-12-16 01:00:00,0.245
2020 RMR Challengers,2024-12-17 01:00:00,0.244
2020 RMR Challengers,2024-12-18 01:00:00,0.245
2020 RMR Challengers,2024-12-19 01:00:00,0.248
2020 RMR Challengers,2024-12-20 01:00:00,0.24
2020 RMR Challengers,2024-12-21 01:00:00,0.246
2020 RMR Challengers,2024-12-22 01:00:00,0.232
2020 RMR Challengers,2024-12-23 01:00:00,0.228
2020 RMR Challengers,2024-12-24 01:00:00,0.211
2020 RMR Challengers,2024-12-25 01:00:00,0.229
2020 RMR Challengers,2024-12-26 01:00:00,0.234
2020 RMR Challengers,2024-12-27 01:00:00,0.225
2020 RMR Challengers,2024-12-28 01:00:00,0.227
2020 RMR Challengers,2024-12-29 01:00:00,0.212
2020 RMR Challengers,2024-12-30 01:00:00,0.222
2020 RMR Challengers,2024-12-31 01:00:00,0.219
2020 RMR Challengers,2025-01-01 01:00:00,0.207
2020 RMR Challengers,2025-01-02 01:00:00,0.207
2020 RMR Challengers,2025-01-03 01:00:00,0.211
2020 RMR Challengers,2025-01-04 01:00:00,0.214
2020 RMR Challengers,2025-01-05 01:00:00,0.212
2020 RMR Challengers,2025-01-06 01:00:00,0.209
2020 RMR Challengers,2025-01-07 01:00:00,0.205
2020 RMR Challengers,2025-01-08 01:00:00,0.211
2020 RMR Challengers,2025-01-09 01:00:00,0.216
